Unnamed: 0	7.0	53.0	271.0	46.0	296.0	190.0	192.0	117.0	91.0	251.0	331.0	69.0
Gardnerella.vaginalis	0.477278	0.254669	0.125594	0.299029	0.013983	0.659324	0.69818	0.546258	0.244788	0.606889	0.014026	0.460547
Lactobacillus.crispatus	0.00718	0.065401	0.426125	0.008367	0.949643	0.012636	0.007411	0.007171	0.054538	0.013105	0.949422	0.004268
Lactobacillus.jensenii	0.001899	0.550747	0.40137	0.00277	0.008772	0.013828	0.001603	0.001726	0.000798	0.001434	0.008349	0.002194
Megasphaera.sp..type.1	0.124107	0.019837	0.016223	0.134312	0.006372	0.052922	0.101843	0.121937	0.046494	0.078057	0.006296	0.17334
Aerococcus.christensenii	0.022009	0.021024	0.018146	0.014063	0.004157	0.049829	0.046351	0.027034	0.112794	0.053554	0.004228	0.015884
Atopobium.vaginae	0.049004	0.000707	0.001226	0.038008	0.001391	0.006934	0.054902	0.053746	0.321241	0.095752	0.001421	0.029269
BVAB1	0.22702	0.004139	0.003387	0.468383	0.001194	0.006195	0.045673	0.157527	0.069196	0.06831	0.001172	0.26245
Dialister.propionicifaciens	0.003615	0.00071	0.001304	0.002907	0.000682	0.001653	0.004747	0.004039	0.015341	0.007328	0.000683	0.002257
Lactobacillus.coleohominis	0.018355	0.041465	0.024478	0.015941	0.002454	0.060089	0.023819	0.020147	0.004747	0.012941	0.002396	0.030207
Eggerthella	0.004018	0.000195	0.000214	0.003954	7.3e-05	0.000782	0.003783	0.004107	0.010117	0.005965	7.4e-05	0.002795
BVAB2	0.019051	0.001103	0.000771	0.016374	0.000194	0.004348	0.020133	0.020196	0.040988	0.028267	0.000195	0.014002
Lactobacillus.gasseri	0.004696	0.02205	0.009778	0.003307	0.004044	0.016485	0.008016	0.005512	0.002112	0.005101	0.003993	0.006223
Dialister.sp..type.2	0.005519	9.5e-05	7.2e-05	0.004933	2.9e-05	0.000717	0.005642	0.005833	0.010955	0.008738	2.9e-05	0.003743
Gemella	0.003132	0.00021	0.000312	0.002589	0.000242	0.001003	0.003836	0.003462	0.023138	0.006776	0.000245	0.001802
